"Contrast","a_label","b_label","cprime_label"
"Congruent","a = 0.047 [0.022, 0.073]","b = -0.313 [-0.478, -0.145]","c′ = 0.003 [-0.058, 0.065]"
"Incongruent","a = 0.057 [0.036, 0.077]","b = -0.313 [-0.478, -0.145]","c′ = -0.123 [-0.172, -0.073]"
